price,image_link,address,city,zone,summary
975 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A6E508D1C34DFFD1D&t=pi&w=320&h=240&sm=c,"7250, Avenue  M.-B.-Jodoin, app. 407",Montréal (Anjou),,/fr/condo-appartement~a-louer~montreal-anjou/21831833?view=Summary
975 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2EFF395D10A147DD1E&t=pi&w=320&h=240&sm=c,"1110, Rue  Saint-Louis",Montréal (Lachine),Quartier Est,/fr/condo-appartement~a-louer~montreal-lachine/24515264?view=Summary
925 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2EF254FDD79C30FD12&t=pi&w=320&h=240&sm=c,"5705, boulevard  Gouin Ouest",Montréal (Ahuntsic-Cartierville),Quartier Cartierville,/fr/condo-appartement~a-louer~montreal-ahuntsic-cartierville/13323641?view=Summary
970 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E271DEDD888303D1B&t=pi&w=320&h=240&sm=c,"9375, Rue  Rancourt",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Saint-Michel,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/11185533?view=Summary
985 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20D95A1D11CA25CD1D&t=pi&w=320&h=240&sm=c,"1870, Rue  Dufresne",Montréal (Ville-Marie),Quartier Centre,/fr/condo-appartement~a-louer~montreal-ville-marie/18113508?view=Summary
880 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D20D35ABDD953021D1F&t=pi&w=320&h=240&sm=c,"2307A, Avenue  Walkley",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),Quartier Notre-Dame-de-Grâce,/fr/condo-appartement~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/12506929?view=Summary
900 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A22E08D1ED331CD1F&t=pi&w=320&h=240&sm=c,"8680, Avenue  Bloomfield, app. 1",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Parc-Extension,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/22076692?view=Summary
759 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2AC4507DDF61FFFD1E&t=pi&w=320&h=240&sm=c,"7514, Rue  Durocher, app. 3",Montréal (Villeray/Saint-Michel/Parc-Extension),Quartier Parc-Extension,/fr/condo-appartement~a-louer~montreal-villeray-saint-michel-parc-extension/10426777?view=Summary
1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D204104FDD33B355D1E&t=pi&w=320&h=240&sm=c,"5747, Avenue  Azilda",Montréal (Anjou),,/fr/condo-appartement~a-louer~montreal-anjou/14519790?view=Summary
795 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2A18F22D1A0B8B1D1C&t=pi&w=320&h=240&sm=c,"1880, Rue  Jean-Leduc",Montréal (Rivière-des-Prairies/Pointe-aux-Trembles),Quartier Pointe-aux-Trembles,/fr/condo-appartement~a-louer~montreal-riviere-des-prairies-pointe-aux-trembles/23562881?view=Summary
